,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
52,"death bed (coffee for your head)",Powfu,389645,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
53,"Rags2Riches 2 (feat. Lil Baby)","Rod Wave",386983,https://open.spotify.com/track/0qJeyYAgv6UpvewUxRXAhb
54,"Before You Go","Lewis Capaldi",386292,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
55,"Someone You Loved","Lewis Capaldi",384095,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
56,Daisy,Ashnikko,382085,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
57,Slidin,"21 Savage",377743,https://open.spotify.com/track/7fxSLnklnayJNBIKntXedZ
58,"Got It On Me","Pop Smoke",376732,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1
59,"Bet You Wanna (feat. Cardi B)",BLACKPINK,376315,https://open.spotify.com/track/7iAgNZdotu40NwtoIWJHFe
60,"Midnight Sky","Miley Cyrus",376170,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
61,"After Party","Don Toliver",374443,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
62,"Electric Love",BØRNS,372136,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
63,"GREECE (feat. Drake)","DJ Khaled",371801,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
64,"Blastoff (feat. Juice Wrld & Trippie Redd)","Internet Money",371502,https://open.spotify.com/track/7dH9TPjTWQ60wOJkmYay8a
65,"We Paid (feat. 42 Dugg)","Lil Baby",368651,https://open.spotify.com/track/6gxKUmycQX7uyMwJcweFjp
66,"NFL (feat. Gudda Gudda & HoodyBaby)","Lil Wayne",367254,https://open.spotify.com/track/3D9G7MPDU48r91YRCYeVRI
67,"Whiskey Glasses","Morgan Wallen",365950,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
68,"Party Girl",StaySolidRocky,364553,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP
69,"Lovesick Girls",BLACKPINK,362065,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
